year_month,product_name,demand_mt
2024-09,Cabbage,47301
2024-09,Capsicum,11348
2024-09,Carrot,36815
2024-09,Knol-Khol,6932
2024-09,Leeks,19473
2024-09,Tomato,42480
2024-09,Radish,24181
2024-09,Pumpkin,58582
2024-09,Snake gourd,14918
2024-09,Cucumber,20939
2024-09,Bitter gourd,16787
2024-09,Okra,31594
2024-09,Brinjal,56445
2024-09,Ash plantain,5380
2024-09,Luffa,15182
2024-09,Long Bean,37785
2024-09,Winged bean,6653
2024-09,Kekiri,4361
2024-08,Bean,24920
2024-08,Beet,11104
2024-08,Cabbage,38812
2024-08,Capsicum,10253
2024-08,Carrot,30033
2024-08,Knol-Khol,6404
2024-08,Leeks,16385
2024-08,Tomato,39115
2024-08,Radish,22100
2024-08,Pumpkin,54213
2024-08,Snake gourd,14620
2024-08,Cucumber,20178
2024-08,Bitter gourd,16211
2024-08,Okra,30558
2024-08,Brinjal,53583
2024-08,Ash plantain,5296
2024-08,Luffa,14844
2024-08,Long Bean,36712
2024-08,Winged bean,6581
2024-08,Kekiri,4148
2024-07,Bean,18911
2024-07,Beet,8103
2024-07,Cabbage,31710
2024-07,Capsicum,8715
2024-07,Carrot,24251
2024-07,Knol-Khol,5069
2024-07,Leeks,12762
2024-07,Tomato,33403
2024-07,Radish,17830
2024-07,Pumpkin,48548
2024-07,Snake gourd,13233
2024-07,Cucumber,16539
2024-07,Bitter gourd,14292
2024-07,Okra,27027
2024-07,Brinjal,47489
2024-07,Ash plantain,5167
2024-07,Luffa,13000
2024-07,Long Bean,32524
2024-07,Winged bean,5838
2024-07,Kekiri,3530
2024-06,Bean,13758
2024-06,Beet,6341
2024-06,Cabbage,26145
2024-06,Capsicum,7241
2024-06,Carrot,20688
2024-06,Knol-Khol,4217
2024-06,Leeks,11307
2024-06,Tomato,26518
2024-06,Radish,12926
2024-06,Pumpkin,40993
2024-06,Snake gourd,10935
2024-06,Cucumber,13074
2024-06,Bitter gourd,12152
2024-06,Okra,22428
2024-06,Brinjal,38070
2024-06,Ash plantain,4968
2024-06,Luffa,10607
2024-06,Long Bean,27342
2024-06,Winged bean,4691
2024-06,Kekiri,3184
